SH	“On entering the house, however, I examined, as you remember, the sill and framework of the hall window with my lens, and I could at once see that someone had passed out.
SH	“Such paper could not be bought under half a crown a packet.
SH	He ran round, like a dog who is picking up a scent, and then turned upon my companion.
SH	“But it might have been a cry of surprise.
SH	“My dear fellow, I congratulate you.”
SH	We rattled through an endless labyrinth of gas-lit streets until we emerged into [NAME] [NAME].
SH	‘Why shouldn’t we be married right away, then,’ said he, ‘and then I will feel sure of you; and I won’t claim to be your husband until I come back?’
SH	“We have got to the deductions and the inferences,” said [NAME], winking at me.
SH	“At the same time,” he remarked after a pause, during which he had sat puffing at his long pipe and gazing down into the fire, “you can hardly be open to a charge of sensationalism, for out of these cases which you have been so kind as to interest yourself in, a fair proportion do not treat of crime, in its legal sense, at all.
SH	A clump of copper beeches immediately in front of the hall door has given its name to the place.
SH	“I am afraid that it will take wiser heads than yours or mine,” he remarked, and bowing in a stately, old-fashioned manner he departed.
SH	I should not wish a smarter assistant, [NAME] [NAME]; and I know very well that he could better himself and earn twice what I am able to give him.
SH	By an examination of the ground I gained the trifling details which I gave to that imbecile [NAME], as to the personality of the criminal.”
SH	“An enemy?”  “Yes; one of my natural enemies, or, shall I say, my natural prey.
SH	Some letters get more worn than others, and some wear only on one side.
SH	There are only two, a man and his wife.
SH	“I will try.
SH	But I want to find out about them, and who they are, and what their object was in playing this prank—if it was a prank—upon me.
SH	“It’s as well,” said the old man; “it’s a question whether I shall live to the [NAME], so it matters little to me, but I should wish to spare [NAME] the shock.
SH	“That also I could fathom.”
SH	“It is wonderful!”
SH	But it was essential that they should use it soon, as it might be discovered, or the bullion might be removed.
SH	Now do try to come, and I shall meet you with the  dog-cart at [NAME].
SH	It may be so in this case, also.”
SH	‘Is he not a beauty?’
SH	Two days later—that is, on [NAME] last—there is a curt announcement that the wedding had taken place, and that the honeymoon would be passed at [NAME] [NAME]’s place, near [NAME].
SH	I wasn’t best pleased, [NAME] [NAME], when she married again so soon after [NAME]’s death, and a man who was nearly fifteen years younger than herself.
SH	If this man ordered one, it is a sign of a certain amount of foresight, since he went out of his way to take this precaution against the wind.
SH	But then, as I used to say to mother, a woman wants her own circle to begin with, and I had not got mine yet.”
SH	What [NAME] want to frighten a chap for?”
SH	There was no maker’s name; but, as [NAME] had remarked, the initials “[NAME] [NAME]” were scrawled upon one side.
SH	It arrived upon [NAME] morning, in company with a good fat goose, which is, I have no doubt, roasting at this moment in front of [NAME]’s fire.
SH	Astonishment at the unexpected sight of you might cause him to throw up his hands?”
SH	At such times I have seen his face, even on a cold day, glisten with moisture, as though it were new raised from a basin.
SH	“I fancy that my pal is all right, though I see you have got his coat-tails.”
SH	Did I buy the geese off you?”
SH	But to-day being [NAME] rather complicates matters.
SH	She became restive, insisted upon her rights, and finally announced her positive intention of going to a certain ball.
SH	“Nor from below,” said [NAME] [NAME], striking his stick upon the flags which lined the floor.
SH	“You appeared to read a good deal upon her which was quite invisible to me,” I remarked.
SH	We had walked several times up and down the lawn, neither [NAME] [NAME] nor myself liking to break in upon his thoughts before he roused himself from his reverie.
SH	[NAME] laughed indulgently.
SH	“You can understand,” said [NAME] suavely, “that I extend to the affairs of my other clients the same secrecy which I promise to you in yours.”
SH	How long they seemed, those quarters!
SH	“[NAME], no, the mystery!” I cried.
SH	You are in my power.
SH	When, in addition, I see a Chinese coin hanging from your watch-chain, the matter becomes even more simple.”
SH	“[NAME] help us!” said [NAME] after a long silence.
SH	“Yes?”  “The _[NAME] [NAME]_ had arrived here last week.
SH	It was headed, “[NAME], 1869,” and beneath were the following enigmatical notices:
SH	[NAME] moved the lamp, and we both bent over the sheet of paper, which showed by its ragged edge that it had indeed been torn from a book.
SH	Local aid is always either worthless or else biassed.
SH	he gasped.
SH	“But he’ll be gone before you can get him to hospital.”
SH	“I find it hard enough to tackle facts, [NAME], without flying away after theories and fancies.”
SH	“How could I help suspecting him, when I actually saw him with the coronet in his hand?”
SH	Ha, ha, my boy, what do you make of that?”
SH	She came to [NAME] [NAME]’s door just after we returned, and she endeavoured to push her way in, uttering very abusive expressions towards my wife, and even threatening her, but I had foreseen the possibility of something of the sort, and I had two police fellows there in private clothes, who soon pushed her out again.
SH	“To an end?”  “Yes, sir.
SH	“‘I beg that you will state your business, [NAME],’ said I; ‘my time is of value.’
SH	How was it done?”
SH	He was not a popular man, being somewhat cold and forbidding in his manners, but he had, as far as I know, no active enemies.
SH	Was she his client, his friend, or his mistress?
SH	“We are close there now,” my friend remarked.
SH	I just made up my mind to run away and explain afterwards.
SH	And yet he would always wind up by muttering that no sister of his should ever have accepted such a situation.
SH	I found the ash of a cigar, which my special knowledge of tobacco ashes enables me to pronounce as an Indian cigar.
SH	“You have compromised yourself seriously.”
SH	“And I say east,” said my patient.
SH	“If I claim full justice for my art, it is because it is an impersonal thing—a thing beyond myself.
SH	Round his brow he had a peculiar yellow band, with brownish speckles, which seemed to be bound tightly round his head.
SH	I shall want your help to-night.”
SH	With an  apology for my intrusion, I was about to withdraw when [NAME] pulled  me abruptly into the room and closed the door behind me.
SH	The lash, however, was curled upon itself and tied so as to make a loop of whipcord.
SH	It cuts into glass as though it were putty.”
SH	“Pray continue your narrative.”
SH	“Perhaps you had better not speak of the matter.
SH	But come in.
